;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2016;1º Turno;ALAGOA NOVA;Vereador;45111;JOVENTINO MELGUIADES;DIDA DE JOVENTINO;PSDB / Alagoa Nova de Verdade 1;533;Eleito por QP
;2016;1º Turno;ALAGOA NOVA;Vereador;13000;PAULO HENRIQUES HERCULANO;PAULO HENRIQUES;PT / TRABALHANDO PARA O BEM DE ALAGOA NOVA 2;531;Eleito por QP

;2016;1º Turno;ALAGOA NOVA;Vereador;70000;LUCIANO HENRIQUE DE LIMA;LUCIANO DE TITA;PT do B / Alagoa Nova de Verdade 2;527;Eleito por QP
;2016;1º Turno;ALAGOA NOVA;Vereador;15000;SEVERINO RICARDO DA SILVA;BIU RICARDO;PMDB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 1;489;Eleito por 

;2016;1º Turno;ALAGOA NOVA;Vereador;40111;EVERALDO DOS SANTOS;EVERALDO DOS;PSB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 2;449;Eleito por QP

;2016;1º Turno;ALAGOA NOVA;Vereador;15888;BRUNO FILIPE VENANCIO;BRUNO ESCOVA;PMDB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 1;427;Suplente

;2016;1º Turno;ALAGOA NOVA;Vereador;14444;JOSIVAM FELIX DOS SANTOS;PILOTO;PTB / Alagoa Nova de Verdade 1;425;Eleito por QP
;2016;1º Turno;ALAGOA NOVA;Vereador;40555;LUIZ PEREIRA DE OLIVEIRA;LUIZINHO;PSB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 2;365;Eleito por QP

;2016;1º Turno;ALAGOA NOVA;Vereador;45555;ADRIANO CAVALCANTI DA;BYROSKA;PSDB / Alagoa Nova de Verdade 1;358;Suplente
;2016;1º Turno;ALAGOA NOVA;Vereador;40444;ABRAHAM LINCOLN DE MORAIS;ABRAÃO;PSB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 2;346;Suplente

;2016;1º Turno;ALAGOA NOVA;Vereador;45888;CRISOSTOMO ANTONIO DOS;CRISOSTOMO ( MIR );PSDB / Alagoa Nova de Verdade 1;318;Suplente
;2016;1º Turno;ALAGOA NOVA;Vereador;15233;JOSÉ EDNADO DA SILVA;PROFESSOR;PMDB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 1;301;Suplente

;2016;1º Turno;ALAGOA NOVA;Vereador;45000;MARIA MARGARETH MATIAS DA;MARGARETH;PSDB / Alagoa Nova de Verdade 1;280;Suplente
;2016;1º Turno;ALAGOA NOVA;Vereador;15111;JOSÉ ALEXANDRE DA SILVA;TUXA DA PADARIA;PMDB / TRABALHANDO PARA O BEM DE ALAGOA NOVA 1;252;Suplente

